Country_Name,ISO3,Population,Gini,gross_domestic_product_usd,thermodynamic_gdp_usd,physical_depreciation_usd,natural_depletion_usd,cognitive_depletion_usd,metabolic_depreciation_usd,epistemic_decay_usd,care_economy_dividend_usd,smog_friction_penalty_usd,gini_friction_penalty_usd,financialization_friction_usd,offshored_entropy_debt_usd,net_domestic_value_usd,cohesion_archetype,equilibrium_transfer_usd,ndv_to_gdp_ratio
Luxembourg,LUX,653103.0,0.341,80801680397.01,67433244633.22,3232067215.88,66525000.0,2810303020.19,6686203471.46,2318523417.31,12431027753.39,2129396.59,0,22624470511.16,0.0,42117397854.02,Industrial,-6652500.0,0.521
Slovenia,SVN,2112076.0,0.243,59899117741.0,55087983100.94,2395964709.64,925320825.0,8225198792.4,9065276840.15,479192941.93,9215248883.23,14620951.88,0,3294451475.76,0.0,41402045149.33164,Natural,1498839701.9216418,0.691
Bahrain,BHR,1524693.0,0.38,46458191489.36,47514537676.88,1858327659.57,555000.0,6678155340.0,3748282018.11,929163829.79,7147414075.29,70342827.9,348436436.17,2555200531.91,0.0,38473432608.71,Industrial,-55500.0,0.828
Peru,PER,33475438.0,0.403,246169867862.82,241670141734.02,9846794714.51,53988525825.0,109490220781.92,45426557103.07,11510607617.42,37872287363.51,735890959.61,3261750749.18,9846794714.51,0.0,36934126334.231636,Natural,1498839701.9216418,0.15
Panama,PAN,4400773.0,0.38,76479304500.0,61183443600.0,3059172180.0,3143258325.0,12969230764.76,12319360825.91,3544020378.81,11766046846.15,35959320.97,573594783.75,4206361747.5,0.0,34597371821.38164,Natural,1498839701.9216418,0.452
Costa Rica,CRI,5081765.0,0.472,71001226360.8,65348083878.57,2840049054.43,2300707500.0,18384773290.72,10597562994.48,3070249230.54,10923265593.97,53831373.39,2165537404.0,3905067449.84,0.0,34452410877.04164,Natural,1498839701.9216418,0.485
Ecuador,ECU,17823897.0,0.455,116133121000.0,119617114630.0,4645324840.0,9276967500.0,54428003210.6,25050574317.84,2322662420.0,17866634000.0,211052836.07,3048494426.25,6387321655.0,2815200.0,33609371926.161644,Natural,1498839701.9216418,0.289
Caribbean small states,CSS,4497310.0,0.38,78475897832.95,80830174767.94,3139035913.32,26775632475.0,16743485130.0,9356870849.95,1569517956.66,12073215051.22,31505250.42,588569233.75,4316174380.81,0.0,31881438331.18164,Natural,1498839701.9216418,0.406
Azerbaijan,AZE,10141756.0,0.38,78807470588.24,81171694705.88,3152298823.53,866119200.0,39090384326.4,11575136347.56,3701902123.41,12124226244.34,155730899.87,591056029.41,4334410882.35,0.0,29742270397.69,Industrial,-86611920.0,0.377
Estonia,EST,1348840.0,0.323,38226641740.29,37834801117.35,1529065669.61,1828800000.0,5406937427.08,4551874631.69,565035636.89,5881021806.2,1760905.98,0,2102465295.72,25298187.75,29203424870.741642,Natural,1498839701.9216418,0.764
Serbia,SRB,6664449.0,0.328,66809895701.22,62269415019.29,2672395828.05,2042492475.0,24385055771.19,12506610794.43,2112021146.87,10278445492.49,77567500.41,0,3674544263.57,557833622.15,26018178812.051643,Natural,1498839701.9216418,0.389
Iceland,ISL,382003.0,0.38,29176227825.47,26988010738.56,1167049113.02,39495000.0,1632739186.2,3739579998.47,0.0,4488650434.69,0,218821708.69,1604692530.4,0.0,23070334136.47,Industrial,-3949500.0,0.791
Latvia,LVA,1879383.0,0.337,38003198508.91,35700368444.64,1520127940.36,2563897500.0,7493321727.76,5461748472.33,1282835968.87,5846645924.45,13414516.97,0,2090175917.99,148662751.46,22471669275.281643,Natural,1498839701.9216418,0.591
Guatemala,GTM,17847877.0,0.38,95609727055.58,90107767300.38,3824389082.22,2628450000.0,42529855493.99,22506076512.97,4769988404.75,14709188777.78,332857105.13,717072952.92,5258534988.06,1265530564.09,20721355974.04,Industrial,-262845000.0,0.217
Trinidad and Tobago,TTO,1365805.0,0.38,28341164301.13,29191399230.16,1133646572.05,170512500.0,4887335065.84,3549691019.58,1388495989.67,4360179123.25,10366928.65,212558732.26,1558764036.56,0.0,20623156258.8,Industrial,-17051250.0,0.728
"Macao SAR, China",MAC,677300.0,0.38,24929307447.32,23059609388.77,997172297.89,75000000.0,2654653473.53,3134900772.26,1033299850.25,3835278068.82,5418400.0,186969805.85,1371111909.6,15652421.03,17413208527.17,Industrial,-7500000.0,0.699
Cyprus,CYP,1331370.0,0.315,31218047043.84,25737506991.85,1248721881.75,129367500.0,5224992781.6,4390030030.06,1120927684.37,4802776468.28,17464131.12,0,1716992587.41,0.0,16678850113.82,Industrial,-12936750.0,0.534
Brunei Darussalam,BRN,455370.0,0.38,16681536466.72,17181982560.72,667261458.67,285000000.0,1973985530.29,852317186.2,333630729.33,2566390225.65,903313.38,125111523.5,917484505.67,0.0,16091518241.251642,Natural,1498839701.9216418,0.965
"Iran, Islamic Rep.",IRN,89524246.0,0.348,422662261525.66,429529352348.14,16906490461.03,8082000000.0,320423629886.57,99650263110.67,8453245230.51,65024963311.64,2785689012.4,0,23246424383.91,0.0,14198373574.69,Industrial,-808200000.0,0.034
"Egypt, Arab Rep.",EGY,112618250.0,0.315,476747720364.74,469750179291.94,19069908814.59,33735000.0,356129907097.76,115956944177.47,14114783708.21,73345803133.04,3352132599.71,0,19069908814.59,2596960486.32,12768328226.33,Industrial,-3373500.0,0.027
Libya,LBY,7223805.0,0.38,43246297921.85,44543686859.51,1729851916.87,162750000.0,25516989008.16,8285387477.65,864925958.44,6653276603.36,105090278.65,324347234.41,2378546385.7,0.0,11812800202.98,Industrial,-16275000.0,0.273
Belarus,BLR,9228071.0,0.38,73775179924.6,65245299349.21,2951007196.98,6597450000.0,36177924434.41,13436072649.16,2988234152.77,11350027680.71,47225802.77,553313849.43,4057634895.85,0.0,11285303750.451643,Natural,1498839701.9216418,0.153
"Bahamas, The",BHS,397538.0,0.38,13896800000.0,12854540000.0,555872000.0,382395000.0,1606376581.43,1602917071.92,277936000.0,2137969230.77,57056.6,104226000.0,764324000.0,18512000.0,11178733222.751642,Natural,1498839701.9216418,0.804
